3.939997 11862.709961 -1.#IND00 -1.#IND00 
3.949997 11862.709961 -1.#IND00 -1.#IND00 
3.959997 11862.709961 -1.#IND00 -1.#IND00 
3.969997 11862.709961 -1.#IND00 -1.#IND00 
3.979997 11862.709961 -1.#IND00 -1.#IND00 
3.989997 11862.709961 -1.#IND00 -1.#IND00 
3.999997 11862.709961 -1.#IND00 -1.#IND00 
4.009997 11862.709961 -1.#IND00 -1.#IND00 
4.019997 11862.709961 -1.#IND00 -1.#IND00 
4.029997 11862.709961 -1.#IND00 -1.#IND00 
4.039998 11862.709961 -1.#IND00 -1.#IND00 
4.049998 11862.709961 -1.#IND00 -1.#IND00 
4.059998 11862.709961 -1.#IND00 -1.#IND00 
4.069998 11862.709961 -1.#IND00 -1.#IND00 
4.079998 11862.709961 -1.#IND00 -1.#IND00 
4.089999 11862.709961 -1.#IND00 -1.#IND00 
4.099999 11862.709961 -1.#IND00 -1.#IND00 
4.109999 11862.709961 -1.#IND00 -1.#IND00 
4.119999 11862.709961 -1.#IND00 -1.#IND00 
4.130000 11862.709961 -1.#IND00 -1.#IND00 
4.140000 11862.709961 -1.#IND00 -1.#IND00 
4.150000 11862.709961 -1.#IND00 -1.#IND00 
4.160000 11862.709961 -1.#IND00 -1.#IND00 
4.170001 11862.709961 -1.#IND00 -1.#IND00 
4.180001 11862.709961 -1.#IND00 -1.#IND00 
4.190001 11862.709961 -1.#IND00 -1.#IND00 
4.200001 11862.709961 -1.#IND00 -1.#IND00 
4.210001 11862.709961 -1.#IND00 -1.#IND00 
4.220002 11862.709961 -1.#IND00 -1.#IND00 
4.230002 11862.709961 -1.#IND00 -1.#IND00 
4.240002 11862.709961 -1.#IND00 -1.#IND00 
4.250002 11862.709961 -1.#IND00 -1.#IND00 
4.260003 11862.709961 -1.#IND00 -1.#IND00 
4.270003 11862.709961 -1.#IND00 -1.#IND00 
4.280003 11862.709961 -1.#IND00 -1.#IND00 
4.290003 11862.709961 -1.#IND00 -1.#IND00 
4.300004 11862.709961 -1.#IND00 -1.#IND00 
4.310004 11862.709961 -1.#IND00 -1.#IND00 
4.320004 11862.709961 -1.#IND00 -1.#IND00 
4.330004 11862.709961 -1.#IND00 -1.#IND00 
4.340004 11862.709961 -1.#IND00 -1.#IND00 
4.350005 11862.709961 -1.#IND00 -1.#IND00 
4.360005 11862.709961 -1.#IND00 -1.#IND00 
4.370005 11862.709961 -1.#IND00 -1.#IND00 
4.380005 11862.709961 -1.#IND00 -1.#IND00 
4.390006 11862.709961 -1.#IND00 -1.#IND00 
4.400006 11862.709961 -1.#IND00 -1.#IND00 
4.410006 11862.709961 -1.#IND00 -1.#IND00 
4.420006 11862.709961 -1.#IND00 -1.#IND00 
4.430007 11862.709961 -1.#IND00 -1.#IND00 
4.440007 11862.709961 -1.#IND00 -1.#IND00 
4.450007 11862.709961 -1.#IND00 -1.#IND00 
4.460007 11862.709961 -1.#IND00 -1.#IND00 
4.470007 11862.709961 -1.#IND00 -1.#IND00 
4.480008 11862.709961 -1.#IND00 -1.#IND00 
4.490008 11862.709961 -1.#IND00 -1.#IND00 
4.500008 11862.709961 -1.#IND00 -1.#IND00 
